host,burden
Dog,23.5
Dog,14.43
Dog,150
Dog,15.5
Dog,7.2
Dog,4.5
Dog,14
Dog,5.8
Dog,9
Dog,23.83
Dog,7.62
Dog,24.62
Dog,53.86
Dog,104.92
Dog,44
Wolf,5
Wolf,37
Wolf,1
Wolf,42
Wolf,77.8
Coyote,21.29
Coyote,12
Coyote,3
Coyote,13.2
Coyote,11
Coyote,19.4
Coyote,8.7
Coyote,13.6
Coyote,5
Coyote,3
Coyote,9
Coyote,16.2
Coyote,13.6
Jackal,5.25
Jackal,6.62
Jackal,4.1
Jackal,12
Jackal,2.92
Jackal,3
Jackal,1
Fox,4.39
Fox,4.4
Fox,7
Fox,2
Fox,5
Fox,3
Fox,5
Fox,4.79
Fox,9.2
Fox,1.5
Fox,1.5
Felidae,2
Felidae,1
Felidae,1.5
Felidae,3
Procyonidae,12.6
Procyonidae,1
Procyonidae,1.75
Mustelidae,3
Mustelidae,2
Mustelidae,3
Pinnipedia,32
Pinnipedia,17
Pinnipedia,2
Ursidae,4
Ursidae,3
Ursidae,5
